대풍수	2013-1-2	10.4
대풍수	2013-1-3	10.3
대풍수	2013-1-9	9.5
대풍수	2013-1-10	10.7
대풍수	2013-1-16	10.3
대풍수	2013-1-17	11.6
대풍수	2013-1-23	9.6
대풍수	2013-1-24	11.1
대풍수	2013-1-30	9.3
대풍수	2013-1-31	9.9
대풍수	2013-2-6	10.0
대풍수	2014-2-7	10.3
그 겨울, 바람이 분다	2013-2-13	12.1
그 겨울, 바람이 분다	2013-2-14	12.3
그 겨울, 바람이 분다	2013-2-20	12.5
그 겨울, 바람이 분다	2013-2-21	12.9
그 겨울, 바람이 분다	2013-2-27	11.5
그 겨울, 바람이 분다	2013-2-28	11.8
그 겨울, 바람이 분다	2013-3-6	11.3
그 겨울, 바람이 분다	2013-3-7	13.5
그 겨울, 바람이 분다	2013-3-13	12.3
그 겨울, 바람이 분다	2013-3-14	12.1
그 겨울, 바람이 분다	2013-3-20	11.6
그 겨울, 바람이 분다	2013-3-21	13.6
그 겨울, 바람이 분다	2013-3-27	12.7
그 겨울, 바람이 분다	2013-3-28	13.6
그 겨울, 바람이 분다	2013-4-3	15.4
내 연애의 모든 것	2013-4-4	6.0
내 연애의 모든 것	2013-4-10	5.4
내 연애의 모든 것	2013-4-11	5.5
내 연애의 모든 것	2013-4-17	5.0
내 연애의 모든 것	2013-4-18	5.4
내 연애의 모든 것	2013-4-24	4.7
내 연애의 모든 것	2013-4-25	5.7
내 연애의 모든 것	2013-5-1	4.9
내 연애의 모든 것	2013-5-2	5.7
내 연애의 모든 것	2013-5-8	4.5
내 연애의 모든 것	2013-5-9	5.2
내 연애의 모든 것	2013-5-15	4.4
내 연애의 모든 것	2013-5-16	4.1
내 연애의 모든 것	2013-5-22	4.0
내 연애의 모든 것	2013-5-23	4.4
내 연애의 모든 것	2013-5-29	3.9
너의 목소리가 들려	2013-6-5	7.8
너의 목소리가 들려	2013-6-6	11.6
너의 목소리가 들려	2013-6-12	14.0
너의 목소리가 들려	2013-6-13	17.3
너의 목소리가 들려	2013-6-19	16.6
너의 목소리가 들려	2013-6-20	16.6
너의 목소리가 들려	2013-6-26	15.1
너의 목소리가 들려	2013-6-27	18.1
너의 목소리가 들려	2013-7-3	17.3
너의 목소리가 들려	2013-7-4	19.8
너의 목소리가 들려	2013-7-10	22.2
너의 목소리가 들려	2013-7-11	22.2
너의 목소리가 들려	2013-7-17	22.6
너의 목소리가 들려	2013-7-18	23.6
너의 목소리가 들려	2013-7-24	24.2
너의 목소리가 들려	2013-7-25	25.2
너의 목소리가 들려	2013-7-31	23.7
너의 목소리가 들려	2013-8-1	26.2
주군의 태양	2013-8-7	17.5
주군의 태양	2013-8-8	15.9
주군의 태양	2013-8-14	17.1
주군의 태양	2013-8-15	17.6
주군의 태양	2013-8-21	17.3
주군의 태양	2013-8-22	19.5
주군의 태양	2013-8-28	17.0
주군의 태양	2013-8-29	17.6
주군의 태양	2013-9-4	17.2
주군의 태양	2013-9-5	17.3
주군의 태양	2013-9-11	17.9
주군의 태양	2013-9-12	19.7
주군의 태양	2013-9-19	15.6
주군의 태양	2013-9-25	18.4
주군의 태양	2013-9-26	19.3
주군의 태양	2013-10-2	18.9
주군의 태양	2013-10-3	21.1
상속자들	2013-10-9	9.9
상속자들	2013-10-10	11.2
상속자들	2013-10-16	10.9
상속자들	2013-10-17	12.4
상속자들	2013-10-23	12.2
상속자들	2013-10-24	13.9
상속자들	2013-10-30	12.9
상속자들	2013-10-31	14.1
상속자들	2013-11-6	13.3
상속자들	2013-11-7	14.3
상속자들	2013-11-13	13.9
상속자들	2013-11-14	14.0
상속자들	2013-11-20	18.2
