보고싶다	2013-1-2	11.1
보고싶다	2013-1-3	15.0
보고싶다	2013-1-9	11.8
보고싶다	2013-1-10	12.9
보고싶다	2013-1-16	12.3
보고싶다	2013-1-17	11.8
7급 공무원	2013-1-23	12.8
7급 공무원	2013-1-24	14.0
7급 공무원	2013-1-30	16.0
7급 공무원	2013-1-31	15.8
7급 공무원	2013-2-6	17.1
7급 공무원	2013-2-7	14.9
7급 공무원	2013-2-13	13.3
7급 공무원	2013-2-14	13.8
7급 공무원	2013-2-20	12.6
7급 공무원	2013-2-21	12.4
7급 공무원	2013-2-27	11.8
7급 공무원	2013-2-28	11.0
7급 공무원	2013-3-6	10.0
7급 공무원	2013-3-7	9.9
7급 공무원	2013-3-13	8.8
7급 공무원	2013-3-14	9.0
7급 공무원	2013-3-20	9.3
7급 공무원	2013-3-21	9.5
7급 공무원	2013-3-27	7.9
7급 공무원	2013-3-28	9.0
남자가 사랑할 때 	2013-4-3	7.3
남자가 사랑할 때 	2013-4-4	10.8
남자가 사랑할 때 	2013-4-10	9.3
남자가 사랑할 때 	2013-4-11	11.6
남자가 사랑할 때 	2013-4-17	11.1
남자가 사랑할 때 	2013-4-18	10.2
남자가 사랑할 때 	2013-4-24	9.9
남자가 사랑할 때 	2013-4-25	9.7
남자가 사랑할 때 	2013-5-1	9.9
남자가 사랑할 때 	2013-5-2	9.7
남자가 사랑할 때 	2013-5-8	9.3
남자가 사랑할 때 	2013-5-9	9.0
남자가 사랑할 때 	2013-5-15	9.0
남자가 사랑할 때 	2013-5-16	9.7
남자가 사랑할 때 	2013-5-22	10.1
남자가 사랑할 때 	2013-5-23	9.8
남자가 사랑할 때 	2013-5-29	10.9
남자가 사랑할 때 	2013-5-30	10.5
남자가 사랑할 때 	2013-6-5	9.8
남자가 사랑할 때 	2013-6-6	9.7
여왕의 교실 	2013-6-12	6.7
여왕의 교실 	2013-6-13	8.2
여왕의 교실 	2013-6-19	9.3
여왕의 교실 	2013-6-20	8.3
여왕의 교실 	2013-6-26	7.9
여왕의 교실 	2013-6-27	7.5
여왕의 교실 	2013-7-3	8.3
여왕의 교실 	2013-7-4	9.4
여왕의 교실 	2013-7-10	7.1
여왕의 교실 	2013-7-11	8.3
여왕의 교실 	2013-7-17	7.1
여왕의 교실 	2013-7-18	8.5
여왕의 교실 	2013-7-24	7.5
여왕의 교실 	2013-7-25	7.6
여왕의 교실 	2013-7-31	8.1
여왕의 교실 	2013-8-1	8.8
투윅스	2013-8-7	7.6
투윅스	2013-8-8	7.7
투윅스	2013-8-14	10.3
투윅스	2013-8-15	8.8
투윅스	2013-8-21	8.6
투윅스	2013-8-22	9.2
투윅스	2013-8-28	8.5
투윅스	2013-8-29	9.0
투윅스	2013-9-4	9.8
투윅스	2013-9-5	9.9
투윅스	2013-9-11	9.4
투윅스	2013-9-12	9.4
투윅스	2013-9-18	8.3
투윅스	2013-9-19	8.6
투윅스	2013-9-25	9.3
투윅스	2013-9-26	10.4
메디컬 탑팀	2013-10-9	6.5
메디컬 탑팀	2013-10-10	6.5
메디컬 탑팀	2013-10-16	6.5
메디컬 탑팀	2013-10-17	6.3
메디컬 탑팀	2013-10-23	5.6
메디컬 탑팀	2013-10-24	5.9
메디컬 탑팀	2013-10-30	4.7
메디컬 탑팀	2013-10-31	5.9
메디컬 탑팀	2013-11-6	5.2
메디컬 탑팀	2013-11-7	4.7
메디컬 탑팀	2013-11-13	4.3
메디컬 탑팀	2013-11-14	3.9
메디컬 탑팀	2013-11-20	6.0
메디컬 탑팀	2013-11-21	5.7
메디컬 탑팀	2013-11-27	5.7
메디컬 탑팀	2013-11-28	5.5
메디컬 탑팀	2013-12-4	6.0
메디컬 탑팀	2013-12-5	5.3
메디컬 탑팀	2013-12-11	5.0
메디컬 탑팀	2013-12-12	5.5
미스코리아	2013-12-18	7.6
미스코리아	2013-12-19	7.1
미스코리아	2013-12-25	8.2
미스코리아	2013-12-26	8.1
미스코리아	2014-1-1	8.1
미스코리아	2014-1-2	8.3
미스코리아	2014-1-8	6.7
미스코리아	2014-1-9	8.5
미스코리아	2014-1-15	6.8
