2014-1-4 	9.7 
2014-1-5 	8.0 
2014-1-11 	9.4
2014-1-12 	9.2
2014-1-18 	10.9
2014-1-19 	10.1
2014-1-25 	12.1
2014-1-26 	11.1
2014-2-1 	10.7
2014-2-2 	10.0
2014-2-9 	9.2 
2014-2-15 	9.2
2014-2-16 	9.0
2014-2-22 	12.8
2014-2-23 	11.6
2014-3-1 	12.7
2014-3-2 	12.2
2014-3-8 	13.4
2014-3-9 	12.4
2014-3-15 	12.9
2014-3-16 	12.3
2014-3-22 	12.8
2014-3-23 	11.9
2014-3-29 	12.7
2014-3-30 	13.2
2014-4-5	7.3
2014-4-6	7.5 
2014-4-12 	8.9
2014-4-13 	7.9
2014-4-26 	10.2
2014-4-27 	11.1
2014-5-3	10.2
2014-5-4	10.4
2014-5-10 	10.9
2014-5-11 	11.1
2014-5-17 	10.4
2014-5-18 	9.8
2014-5-24 	9.1
2014-5-25 	8.6
2014-5-31 	8.7
2014-6-1	7.6 
2014-6-7	8.7 
2014-6-8	8.7 
2014-6-14 	8.9
2014-6-15 	9.1
2014-6-21 	7.2
2014-6-22 	7.1
2014-6-28 	8.7
2014-6-29 	8.0
