2014-1-4	13.2
2014-1-5	12.1
2014-1-11	14.4
2014-1-12	13.6
2014-1-18	14.0
2014-1-19	14.4
2014-1-25	15.6
2014-1-26	14.3
2014-2-1	14.1
2014-2-2	14.8
2014-2-9	15.5
2014-2-15	15.3
2014-2-16	15.9
2014-2-23	15.3
2014-3-1	16.7
2014-3-2	15.8
2014-3-8	15.7
2014-3-9	16.1
2014-3-15	15.0
2014-3-16	15.0
2014-3-22	16.0
2014-3-23	14.7
2014-3-29	15.4
2014-3-30	16.3
2014-4-5	11.8
2014-4-6	11.2
2014-4-12 	11.1
2014-4-13 	11.6
2014-4-26 	7.4
2014-4-27 	8.8
2014-5-3	8.7 
2014-5-4	9.1 
2014-5-10 	8.6
2014-5-11 	9.5
2014-5-17 	8.4
2014-5-18 	9.0
2014-5-24 	8.6
2014-5-25 	7.8
2014-5-31 	9.8
2014-6-1	9.6 
2014-6-7	9.6 
2014-6-8	8.3 
2014-6-14 	9.9
2014-6-15 	9.3
2014-6-21 	9.9
2014-6-22 	9.8
2014-6-28 	10.6
2014-6-29 	10.2
